Name,Median Household Income
"Montgomery County, New York",45938
"Nassau County, New York",101830
"New York County, New York",75575
"Niagara County, New York",48160
"Oneida County, New York",48023
"Onondaga County, New York",57365
"Ontario County, New York",57711
"Orange County, New York",73031
"Orleans County, New York",50519
"Oswego County, New York",49767
"Otsego County, New York",49691
"Putnam County, New York",90538
"Queens County, New York",60422
"Rensselaer County, New York",60810
"Richmond County, New York",71622
"Rockland County, New York",85392
"St. Lawrence County, New York",42144
"Saratoga County, New York",75761
"Schenectady County, New York",61108
"Schoharie County, New York",51662
"Seneca County, New York",50415
"Steuben County, New York",47146
"Suffolk County, New York",88340
"Sullivan County, New York",51761
"Tioga County, New York",62700
"Tompkins County, New York",58084
"Ulster County, New York",59758
"Warren County, New York",57541
"Washington County, New York",52808
"Wayne County, New York",50561
"Westchester County, New York",86108
"Wyoming County, New York",52136
"Yates County, New York",47419
"Alamance County, North Carolina",39541
"Alexander County, North Carolina",36335
"Anson County, North Carolina",33880
"Ashe County, North Carolina",32105
"Beaufort County, North Carolina",43225
"Bertie County, North Carolina",31425
"Bladen County, North Carolina",27922
"Brunswick County, North Carolina",46640
"Buncombe County, North Carolina",44619
"Burke County, North Carolina",42970
"Cabarrus County, North Carolina",56853
"Caldwell County, North Carolina",38708
"Carteret County, North Carolina",51048
"Caswell County, North Carolina",39567
"Catawba County, North Carolina",40450
"Chatham County, North Carolina",55642
"Cherokee County, North Carolina",39879
"Cleveland County, North Carolina",38885
"Columbus County, North Carolina",34421
"Craven County, North Carolina",48145
"Cumberland County, North Carolina",42107
"Currituck County, North Carolina",73602
"Dare County, North Carolina",52833
"Davidson County, North Carolina",46150
"Davie County, North Carolina",50434
"Duplin County, North Carolina",35988
"Durham County, North Carolina",53495
"Edgecombe County, North Carolina",29274
"Forsyth County, North Carolina",46477
"Franklin County, North Carolina",47318
"Gaston County, North Carolina",44293
"Granville County, North Carolina",50168
"Greene County, North Carolina",30910
"Guilford County, North Carolina",47786
"Halifax County, North Carolina",31273
"Harnett County, North Carolina",48960
"Haywood County, North Carolina",46372
"Henderson County, North Carolina",47021
"Hertford County, North Carolina",34794
