Name,Life Expectancy
"Columbia County, Georgia",78.38333333333334
"Columbia County, New York",81.76500000000001
"Columbia County, Oregon",78.72
"Columbia County, Pennsylvania",78.4142857142857
"Columbia County, Washington",79.0
"Columbia County, Wisconsin",80.23333333333333
"Columbiana County, Ohio",76.175
"Columbus County, North Carolina",74.16923076923078
"Colusa County, California",80.22
"Comal County, Texas",79.13636363636364
"Comanche County, Kansas",76.5
"Comanche County, Oklahoma",74.76428571428572
"Comanche County, Texas",79.725
"Concho County, Texas",86.8
"Concordia Parish, Louisiana",73.16
"Conecuh County, Alabama",73.46000000000001
"Conejos County, Colorado",82.25
"Contra Costa County, California",80.81333333333333
"Converse County, Wyoming",82.0
"Conway County, Arkansas",75.05
"Cook County, Georgia",74.14999999999999
"Cook County, Illinois",77.82824999999995
"Cook County, Minnesota",81.4
"Cooke County, Texas",76.2625
"Cooper County, Missouri",76.82000000000001
"Coos County, New Hampshire",78.80000000000001
"Coos County, Oregon",76.20833333333333
"Coosa County, Alabama",77.89999999999999
"Copiah County, Mississippi",74.0
"Corson County, South Dakota",78.5
"Cortland County, New York",80.24545454545455
"Coryell County, Texas",75.94615384615385
"Coshocton County, Ohio",77.03
"Costilla County, Colorado",79.5
"Cottle County, Texas",79.8
"Cotton County, Oklahoma",78.15
"Cottonwood County, Minnesota",80.0
"Covington County, Alabama",74.93076923076923
"Covington County, Mississippi",74.9
"Covington city, Virginia",75.95
"Coweta County, Georgia",77.34736842105265
"Cowley County, Kansas",76.38181818181819
"Cowlitz County, Washington",76.96521739130435
"Craig County, Oklahoma",75.64
"Craig County, Virginia",79.5
"Craighead County, Arkansas",75.78235294117648
"Crane County, Texas",76.8
"Craven County, North Carolina",76.60526315789475
"Crawford County, Arkansas",75.52727272727273
"Crawford County, Georgia",75.63333333333334
"Crawford County, Illinois",77.0
"Crawford County, Indiana",76.5
"Crawford County, Iowa",78.38
"Crawford County, Kansas",76.60909090909091
"Crawford County, Michigan",78.2
"Crawford County, Missouri",75.16
"Crawford County, Ohio",76.10000000000001
"Crawford County, Pennsylvania",77.71363636363635
"Crawford County, Wisconsin",79.68333333333334
"Creek County, Oklahoma",75.27619047619048
"Crenshaw County, Alabama",74.51666666666667
"Crisp County, Georgia",74.95
"Crittenden County, Arkansas",73.30625
"Crittenden County, Kentucky",75.47500000000001
"Crockett County, Tennessee",74.6
"Crockett County, Texas",79.2
"Crook County, Oregon",77.25
"Crook County, Wyoming",87.1
"Crosby County, Texas",77.86666666666667
"Cross County, Arkansas",73.8
"Crow Wing County, Minnesota",80.22500000000001
"Crowley County, Colorado",76.4
"Culberson County, Texas",77.2
"Cullman County, Alabama",75.15000000000002
"Culpeper County, Virginia",78.2
"Cumberland County, Illinois",78.26666666666667
"Cumberland County, Kentucky",74.1
"Cumberland County, Maine",80.10363636363635
"Cumberland County, New Jersey",76.32903225806453
"Cumberland County, North Carolina",75.09642857142856
"Cumberland County, Pennsylvania",79.81304347826087
"Cumberland County, Tennessee",75.73076923076923
"Cumberland County, Virginia",76.95
"Cuming County, Nebraska",80.96666666666665
"Currituck County, North Carolina",76.10000000000001
"Curry County, New Mexico",76.64545454545454
"Curry County, Oregon",75.85
"Custer County, Colorado",82.7
"Custer County, Idaho",87.7
"Custer County, Montana",76.76666666666667
"Custer County, Nebraska",79.675
"Custer County, Oklahoma",76.42
"Custer County, South Dakota",80.15
